Rank,Rating,Title,No. of Reviews
1, 99%,The Wizard of Oz (1939),109
2, 100%,Citizen Kane (1941),73
3, 100%,The Third Man (1949),76
4, 97%,Mad Max: Fury Road (2015),357
5, 100%,All About Eve (1950),64
6, 100%,Das Cabinet des Dr. Caligari. (The Cabinet of Dr. Caligari) (1920),49
7, 98%,Inside Out (2015),318
8, 99%,The Godfather (1972),84
9, 99%,Metropolis (1927),115
10, 100%,Modern Times (1936),53
11, 98%,E.T. The Extra-Terrestrial (1982),112
12, 100%,Singin' in the Rain (1952),49
13, 98%,It Happened One Night (1934),52
14, 97%,Casablanca (1942),74
15, 98%,Boyhood (2014),276
16, 100%,Laura (1944),60
17, 98%,A Hard Day's Night (1964),102
18, 97%,"Nosferatu, a Symphony of Horror (Nosferatu, eine Symphonie des Grauens) (Nosferatu the Vampire) (1922)",62
19, 98%,Snow White and the Seven Dwarfs (1937),47
20, 99%,The Battle of Algiers (La Battaglia di Algeri) (1967),82
21, 97%,La Grande illusion (Grand Illusion) (1938),63
22, 100%,North by Northwest (1959),64
23, 100%,Repulsion (1965),60
24, 100%,The Maltese Falcon (1941),49
25, 96%,Gravity (2013),315
26, 98%,Sunset Boulevard (1950),60
27, 98%,King Kong (1933),54
28, 100%,The Adventures of Robin Hood (1938),45
29, 100%,Rear Window (1954),63
30, 100%,Rashômon (1951),49
31, 96%,Psycho (1960),84
32, 96%,12 Years a Slave (2013),304
33, 99%,Selma (2015),229
34, 99%,Toy Story 3 (2010),290
35, 100%,Toy Story 2 (1999),163
36, 99%,Taxi Driver (1976),75
37, 96%,Spotlight (2015),299
38, 100%,The Bride of Frankenstein (1935),41
39, 100%,M (1931),51
40, 96%,Argo (2012),306
41, 100%,The Philadelphia Story (1940),54
42, 100%,Seven Samurai (Shichinin no Samurai) (1956),57
43, 100%,The Treasure of the Sierra Madre (1948),45
44, 98%,Up (2009),285
45, 100%,All Quiet on the Western Front (1930),40
46, 100%,The 400 Blows (Les Quatre cents coups) (1959),54
47, 97%,Alien (1979),102
48, 98%,Bicycle Thieves (Ladri di biciclette) (1949),56
49, 98%,Zootopia (2016),241
50, 97%,Army of Shadows (L'Armée des ombres) (1969),73
51, 98%,A Streetcar Named Desire (1951),54
52, 100%,12 Angry Men (Twelve Angry Men) (1957),48
53, 98%,Moonlight (2016),237
54, 98%,The Night of the Hunter (1955),63
55, 99%,Dr. Strangelove Or How I Learned to Stop Worrying and Love the Bomb (1964),73
56, 100%,Rebecca (1940),48
57, 100%,Frankenstein (1931),45
58, 100%,The Conformist (1970),50
59, 99%,Rosemary's Baby (1968),69
60, 99%,Finding Nemo (2003),255
61, 97%,Vertigo (1958),64
62, 99%,Annie Hall (1977),67
63, 96%,Touch of Evil (1958),70
64, 92%,Star Wars: Episode VII - The Force Awakens (2015),364
65, 98%,Hell or High Water (2016),224
66, 97%,"The Good, the Bad and the Ugly (1966)",68
67, 98%,The Wrestler (2008),220
68, 99%,L.A. Confidential (1997),108
69, 98%,The Hurt Locker (2009),256
70, 98%,The 39 Steps (1935),44
71, 94%,The Dark Knight (2008),317
72, 98%,The Babadook (2014),206
73, 94%,Gone With the Wind (1939),81
74, 100%,Pinocchio (1940),45
75, 93%,Skyfall (2012),347
76, 100%,Open City (1946),40
77, 100%,Tokyo Story (Tôkyô monogatari) (1953),41
78, 97%,Brooklyn (2015),233
79, 95%,Star Trek (2009),333
80, 100%,The Last Picture Show (1971),51
81, 100%,The Wages of Fear (1953),40
82, 100%,The Grapes of Wrath (1940),43
83, 98%,Roman Holiday (1953),52
84, 96%,High Noon (1952),49
85, 98%,On the Waterfront (1954),60
86, 93%,La La Land (2016),329
87, 96%,Harry Potter and the Deathly Hallows - Part 2 (2011),310
88, 97%,"The Godfather, Part II (1974)",72
89, 100%,Man on Wire (2008),154
90, 100%,Toy Story (1995),78
91, 94%,Arrival (2016),302
92, 97%,Jaws (1975),74
93, 100%,Battleship Potemkin (1925),45
94, 100%,Anatomy of a Murder (1959),42
95, 97%,Lawrence of Arabia (1962),77
96, 95%,The Jungle Book (2016),273
97, 97%,It Follows (2015),219
98, 100%,The Leopard (1963),45
99, 98%,Chinatown (1974),62
100, 100%,Cool Hand Luke (1967),47
